Exports (Motorcycle) Year & Month / Engine Displacement Jan 1993-Jan 2024
Specific Makes
,50cc & under,Over 50cc,Over 50cc,Over 50cc,Over 50cc,Grand Total
,50cc & under,551-125cc,126-250cc,Over 250cc,Over 50cc Total,Grand Total
Jan 1993,15362,72039, 8215, 60326, 140580, 155942,
Feb 1993,14993,72194, 9381, 61611, 143186, 158179,
Mar 1993,21721,96636, 11751, 67407, 175794, 197515,
Apr 1993,12662,64705, 6971, 41489, 113165, 125827,
May 1993,10871,81929, 6346, 31385, 119660, 130531,
Jun 1993,10630,78244, 12690, 31495, 122429, 133059,
Jul 1993,10505,90097, 14686, 32586, 137369, 147874,
Aug 1993,11055,67735, 14257, 33450, 115442, 126497,
Sep 1993,10260,92953, 19153, 38424, 150530, 160790,
Oct 1993,7389,65708, 14998, 28508, 109214, 116603,
Nov 1993,6538,71512, 8944, 38035, 118491, 125029,
Dec 1993,6704,71695, 8933, 54532, 135160, 141864,
Jan 1994,7987,66901, 7906, 54147, 128954, 136941,
Feb 1994,5653,64466, 8509, 55345, 128320, 133973,
Mar 1994,9228,65649, 9448, 44909, 120006, 129234,
Apr 1994,3586,68153, 7505, 39891, 115549, 119135,
May 1994,7650,68211, 9867, 26670, 104748, 112398,
Jun 1994,8492,79522, 9929, 23120, 112571, 121063,
Jul 1994,8670,63275, 10517, 23665, 97457, 106127,
Aug 1994,5998,40197, 13385, 25556, 79138, 85136,
Sep 1994,9494,64443, 16180, 24707, 105330, 114824,
Oct 1994,8831,45887, 14333, 42189, 102409, 111240,
Nov 1994,6357,54791, 13229, 41480, 109500, 115857,
Dec 1994,6056,59991, 12042, 43839, 115872, 121928,
Jan 1995,5704,40532, 6196, 45596, 92324, 98028,
Feb 1995,5629,53705, 7602, 47037, 108344, 113973,
Mar 1995,7202,73442, 7821, 47923, 129186, 136388,
Apr 1995,4031,77527, 6806, 35559, 119892, 123923,
May 1995,5381,46223, 8743, 24277, 79243, 84624,
Jun 1995,4232,45299, 10073, 22656, 78028, 82260,
Jul 1995,3949,65704, 13113, 21677, 100494, 104443,
Aug 1995,6913,54906, 14463, 25058, 94427, 101340,
Sep 1995,8060,65582, 18657, 34775, 119014, 127074,
Oct 1995,2816,55285, 13674, 34320, 103279, 106095,
Nov 1995,3557,51289, 11926, 45942, 109157, 112714,
Dec 1995,4153,61939, 10887, 57869, 130695, 134848,
Jan 1996,4416,50221, 13211, 52969, 116401, 120817,
Feb 1996,3958,43608, 10594, 59508, 113710, 117668,
Mar 1996,5129,52598, 10345, 51104, 114047, 119176,
Apr 1996,9160,49092, 11071, 44479, 104642, 113802,
May 1996,3565,53129, 8712, 25304, 87145, 90710,
Jun 1996,5377,71609, 13009, 24349, 108967, 114344,
Jul 1996,4421,69332, 13504, 23174, 106010, 110431,
Aug 1996,5468,50658, 11537, 26839, 89034, 94502,
Sep 1996,3410,64400, 17437, 31101, 112938, 116348,
Oct 1996,3767,53045, 16983, 40485, 110513, 114280,
Nov 1996,2808,58516, 13820, 47446, 119782, 122590,
Dec 1996,3537,50385, 13880, 54865, 119130, 122667,
Jan 1997,4323,45667, 12577, 59211, 117455, 121778,
Feb 1997,5256,41059, 9880, 62382, 113321, 118577,
Mar 1997,7192,49309, 13981, 52196, 115486, 122678,
Apr 1997,4734,45339, 12927, 47712, 105978, 110712,
May 1997,4540,41699, 10910, 36934, 89543, 94083,
Jun 1997,9325,53901, 14533, 27522, 95956, 105281,
Jul 1997,6008,58622, 18029, 25602, 102253, 108261,
Aug 1997,6447,50789, 19259, 26098, 96146, 102593,
Sep 1997,4919,69107, 20687, 39136, 128930, 133849,
Oct 1997,7392,66124, 19746, 50757, 136627, 144019,
Nov 1997,7153,60755, 17324, 52973, 131052, 138205,
Dec 1997,8224,67454, 18128, 65866, 151448, 159672,
Jan 1998,6174,44856, 15039, 72828, 132723, 138897,
Feb 1998,7690,49536, 14293, 71087, 134916, 142606,
Mar 1998,10799,58857, 16498, 68726, 144081, 154880,
Apr 1998,16931,46669, 16029, 57517, 120215, 137146,
May 1998,13570,39676, 13392, 46247, 99315, 112885,
Jun 1998,14255,51823, 17303, 41706, 110832, 125087,
Jul 1998,9667,53841, 19067, 30996, 103904, 113571,
Aug 1998,6396,43105, 17007, 32416, 92528, 98924,
Sep 1998,7956,68774, 24108, 44100, 136982, 144938,
Oct 1998,6569,59865, 25846, 57397, 143108, 149677,
Nov 1998,8293,54420, 13231, 64222, 131873, 140166,
Dec 1998,6553,44791, 14938, 78694, 138423, 144976,
Jan 1999,7664,35443, 14600, 84347, 134390, 142054,
Feb 1999,6639,33488, 14566, 87916, 135970, 142609,
Mar 1999,10712,37230, 13413, 80422, 131065, 141777,
Apr 1999,4183,32368, 11728, 58823, 102919, 107102,
May 1999,11059,27224, 13841, 49031, 90096, 101155,
Jun 1999,3495,33076, 11695, 41810, 86581, 90076,
Jul 1999,6748,36129, 10753, 35662, 82544, 89292,
Aug 1999,9401,35722, 16261, 30607, 82590, 91991,
Sep 1999,8714,47320, 19132, 50074, 116526, 125240,
Oct 1999,5513,39090, 20121, 52439, 111650, 117163,
Nov 1999,10526,32665, 17661, 63138, 113464, 123990,
Dec 1999,4890,33121, 13628, 89045, 135794, 140684,
Jan 2000,2229,34968, 12527, 91760, 139255, 141484,
Feb 2000,7851,41443, 14295, 100812, 156550, 164401,
Mar 2000,3515,43708, 10970, 103994, 158672, 162187,
Apr 2000,5104,34813, 11814, 66112, 112739, 117843,
May 2000,5166,39076, 17563, 47492, 104131, 109297,
Jun 2000,11734,52670, 19166, 40853, 112689, 124423,
Jul 2000,8774,52686, 18666, 41090, 112442, 121216,
Aug 2000,9942,42536, 17613, 36535, 96684, 106626,
Sep 2000,7285,60559, 23657, 64701, 148917, 156202,
Oct 2000,4832,52629, 20539, 53828, 126996, 131828,
Nov 2000,10612,47665, 20567, 64756, 132988, 143600,
Dec 2000,4994,46287, 17214, 93575, 157076, 162070,
Jan 2001,5604,28569, 17055, 99769, 145393, 150997,
Feb 2001,2868,38991, 19229, 102522, 160742, 163610,
Mar 2001,1704,39312, 17422, 111128, 167862, 169566,
Apr 2001,4460,30173, 14050, 69087, 113310, 117770,
May 2001,4207,46333, 11826, 46523, 104682, 108889,
Jun 2001,5942,49629, 13365, 44849, 107843, 113785,
Jul 2001,5297,56614, 18261, 31039, 105914, 111211,
Aug 2001,7793,53178, 16466, 34395, 104039, 111832,
Sep 2001,8757,59718, 19604, 56759, 136081, 144838,
Oct 2001,6360,52176, 14107, 53248, 119531, 125891,
Nov 2001,2994,40343, 18098, 64072, 122513, 125507,
Dec 2001,3420,35692, 14575, 79830, 130097, 133517,
Jan 2002,3349,28161, 10428, 86692, 125281, 128630,
Feb 2002,5273,29529, 11514, 95999, 137042, 142315,
Mar 2002,5450,32985, 10788, 100377, 144150, 149600,
Apr 2002,2941,30610, 10790, 54158, 95558, 98499,
May 2002,5907,36456, 9373, 37637, 83466, 89373,
Jun 2002,7729,41873, 13307, 44057, 99237, 106966,
Jul 2002,7847,47985, 17836, 41734, 107555, 115402,
Aug 2002,4521,42305, 18263, 32510, 93078, 97599,
Sep 2002,7684,63508, 16783, 36757, 117048, 124732,
Oct 2002,8492,46900, 10840, 42512, 100252, 108744,
Nov 2002,7584,36262, 10310, 70590, 117162, 124746,
Dec 2002,8034,25563, 9668, 88811, 124042, 132076,
Jan 2003,12752,29164, 8341, 84418, 121923, 134675,
