Production (Motorcycle) Year & Month / Engine Displacement Jan 1993-Jan 2024
,50cc & under,Over 50cc,Over 50cc,Over 50cc,Over 50cc, Over 50cc,  Grand Total
,50cc & under,51-125cc,126-250cc,Over 250cc,Over 50cc Total, Total,  Grand Total
Jan 1993,81456, 94618, 12023, 60712, 167353, 334706,248809,
Feb 1993,90416, 105616, 16180, 68073, 189869, 379738,280285,
Mar 1993,108737, 118106, 21116, 69954, 209176, 418352,317913,
Apr 1993,95535, 87409, 23174, 49963, 160546, 321092,256081,
May 1993,83017, 99294, 21451, 43982, 164727, 329454,247744,
Jun 1993,87171, 104917, 25612, 49502, 180031, 360062,267202,
Jul 1993,82078, 112882, 22226, 50888, 185996, 371992,268074,
Aug 1993,56908, 87682, 20645, 37075, 145402, 290804,202310,
Sep 1993,76777, 113261, 23924, 46801, 183986, 367972,260763,
Oct 1993,68764, 90168, 18037, 46150, 154355, 308710,223119,
Nov 1993,67953, 89810, 14839, 56600, 161249, 322498,229202,
Dec 1993,73550, 78791, 11932, 57379, 148102, 296204,221652,
Jan 1994,69105, 78138, 11228, 55305, 144671, 289342,213776,
Feb 1994,71012, 82026, 15775, 63233, 161034, 322068,232046,
Mar 1994,84687, 96760, 19278, 60219, 176257, 352514,260944,
Apr 1994,79152, 90965, 20170, 49138, 160273, 320546,239425,
May 1994,60643, 90316, 19385, 35113, 144814, 289628,205457,
Jun 1994,86880, 91350, 27320, 40186, 158856, 317712,245736,
Jul 1994,83184, 81174, 28341, 38281, 147796, 295592,230980,
Aug 1994,58693, 83972, 23501, 30887, 138360, 276720,197053,
Sep 1994,82019, 88974, 23494, 37843, 150311, 300622,232330,
Oct 1994,62760, 78697, 18729, 42122, 139548, 279096,202308,
Nov 1994,65503, 101924, 15943, 48017, 165884, 331768,231387,
Dec 1994,71281, 98264, 14222, 50077, 162563, 325126,233844,
Jan 1995,63070, 83158, 11050, 43381, 137589, 275178,200659,
Feb 1995,78590, 96145, 14150, 52513, 162808, 325616,241398,
Mar 1995,111257, 103702, 22679, 59734, 186115, 372230,297372,
Apr 1995,101733, 93483, 20493, 44084, 158060, 316120,259793,
May 1995,81529, 95446, 16297, 34053, 145796, 291592,227325,
Jun 1995,90234, 110295, 22636, 37337, 170268, 340536,260502,
Jul 1995,90957, 84876, 21608, 35806, 142290, 284580,233247,
Aug 1995,67200, 58938, 20758, 33670, 113366, 226732,180566,
Sep 1995,82048, 79035, 21500, 41050, 141585, 283170,223633,
Oct 1995,55459, 84197, 17512, 48121, 149830, 299660,205289,
Nov 1995,64000, 75561, 16321, 54569, 146451, 292902,210451,
Dec 1995,65726, 74102, 12734, 60442, 147278, 294556,213004,
