DATE,JPNRGDPEXP
1994-01-01,446235.9
1994-04-01,443815.0
1994-07-01,448903.3
1994-10-01,447177.8
1995-01-01,452037.4
1995-04-01,456342.7
1995-07-01,461687.4
1995-10-01,462859.4
1996-01-01,466639.7
1996-04-01,472551.0
1996-07-01,473159.1
1996-10-01,478451.8
1997-01-01,479586.2
1997-04-01,476082.4
1997-07-01,477005.2
1997-10-01,477187.2
1998-01-01,471313.2
1998-04-01,469310.1
1998-07-01,470145.5
1998-10-01,473911.3
1999-01-01,467365.1
1999-04-01,469180.3
1999-07-01,471678.4
1999-10-01,471824.4
2000-01-01,479972.0
2000-04-01,482114.5
2000-07-01,482260.9
2000-10-01,486917.2
2001-01-01,490543.0
2001-04-01,486848.5
2001-07-01,481597.8
2001-10-01,479887.9
2002-01-01,480737.9
2002-04-01,484578.4
2002-07-01,486180.8
2002-10-01,487493.5
2003-01-01,487798.8
2003-04-01,491106.6
2003-07-01,492631.3
2003-10-01,497980.4
2004-01-01,501742.8
2004-04-01,501657.2
2004-07-01,504783.3
2004-10-01,503837.4
2005-01-01,506380.6
2005-04-01,510300.7
2005-07-01,515503.4
2005-10-01,516454.3
2006-01-01,517212.1
2006-04-01,517972.5
2006-07-01,516995.8
2006-10-01,524030.3
2007-01-01,527404.4
2007-04-01,527564.8
2007-07-01,524803.2
2007-10-01,527104.1
2008-01-01,529009.1
2008-04-01,525787.9
2008-07-01,519395.2
2008-10-01,506514.4
2009-01-01,482040.2
2009-04-01,491564.2
2009-07-01,491443.9
2009-10-01,497434.5
2010-01-01,502579.1
2010-04-01,508743.2
2010-07-01,517977.6
2010-10-01,513667.1
2011-01-01,508243.0
2011-04-01,503949.3
2011-07-01,516135.3
2011-10-01,515359.1
2012-01-01,522729.5
2012-04-01,517845.3
2012-07-01,515825.6
2012-10-01,515416.7
2013-01-01,522658.7
2013-04-01,527335.4
2013-07-01,532382.5
2013-10-01,531666.6
2014-01-01,536109.7
2014-04-01,526393.0
2014-07-01,526901.0
2014-10-01,529187.7
2015-01-01,537496.6
2015-04-01,538232.9
2015-07-01,538859.5
2015-10-01,537801.1
2016-01-01,541953.1
2016-04-01,541020.6
2016-07-01,542199.1
2016-10-01,542891.6
2017-01-01,547174.0
2017-04-01,549311.8
2017-07-01,553945.4
2017-10-01,554456.6
2018-01-01,554898.5
2018-04-01,556935.7
2018-07-01,553970.7
2018-10-01,552962.1
2019-01-01,554344.4
2019-04-01,556503.1
2019-07-01,557395.3
2019-10-01,541726.1
2020-01-01,544713.8
2020-04-01,502721.3
2020-07-01,530018.5
2020-10-01,539515.2
2021-01-01,541422.6
2021-04-01,543829.9
2021-07-01,541820.4
2021-10-01,548752.4
2022-01-01,546092.4
2022-04-01,551848.0
2022-07-01,550210.9
2022-10-01,552524.3
2023-01-01,559620.7
2023-04-01,562988.1
2023-07-01,557227.4
2023-10-01,557619.5
2024-01-01,554330.4
2024-04-01,558624.7
