Production (Motor Vehicle) Year & Month / Type Jan 1993-Jan 2024
, Passenger Cars, Passenger Cars, Passenger Cars, Passenger Cars, Trucks, Trucks, Trucks, Trucks, Buses, Grand Total
,Standard,Small,Mini,Total,Standard,Small,Mini,Total,, Grand Total
Jan 1993,197594,420826,55144,673564,77906,78515,60120,216541,3804,893909
Feb 1993,228748,493686,70403,792837,87961,87551,70302,245814,4551,1043202
Mar 1993,253412,554206,79617,887235,93281,100471,77756,271508,5427,1164170
Apr 1993,189058,440918,65101,695077,79641,79058,62575,221274,4335,920686
May 1993,172028,420777,59443,652248,76049,72761,61758,210568,4846,867662
Jun 1993,191129,484450,70060,745639,82873,81088,73924,237885,4473,987997
Jul 1993,219286,472342,68147,759775,83820,85688,78350,247858,4033,1011666
Aug 1993,174175,334387,38973,547535,63405,64681,53095,181181,3182,731898
Sep 1993,248356,434016,68124,750496,78365,89495,71911,239771,4244,994511
Oct 1993,237407,375012,66393,678812,68712,79135,65881,213728,3269,895809
Nov 1993,251792,388311,67779,707882,70724,75086,70033,215843,3130,926855
Dec 1993,209988,333388,59467,602843,69318,61838,52401,183557,2780,789180
Jan 1994,203426,327495,60614,591535,66610,60266,50896,177772,3551,772858
Feb 1994,226370,376534,75638,678542,73134,73688,67055,213877,4131,896550
Mar 1994,265159,439117,86531,790807,87323,90585,81608,259516,4873,1055196
Apr 1994,200023,341268,66965,608256,75230,70990,66365,212585,3589,824430
May 1994,169383,319170,55234,543787,65749,62772,58918,187439,3445,734671
Jun 1994,234169,401314,69917,705400,89845,82657,74309,246811,4451,956662
Jul 1994,216380,393884,69272,679536,91637,84823,74847,251307,4658,935501
Aug 1994,167645,295003,47414,510062,73253,65422,47485,186160,3963,700185
Sep 1994,225990,405843,71660,703493,98058,82653,76328,257039,4511,965043
Oct 1994,221496,372484,63601,657581,91151,80805,65704,237660,4190,899431
Nov 1994,237028,384673,72866,694567,91314,79027,81270,251611,4021,950199
Dec 1994,215863,355557,67051,638471,80506,70324,70363,221193,3729,863393
Jan 1995,186633,318786,62611,568030,68294,60994,58163,187451,3356,758837
Feb 1995,233727,400105,78804,712636,78620,79362,70398,228380,4044,945060
Mar 1995,262062,457410,91773,811245,88080,97501,81370,266951,4973,1083169
Apr 1995,227596,347484,74615,649695,75201,81659,60420,217280,4050,871025
May 1995,190262,300782,64915,555959,66961,68182,59564,194707,2674,753340
Jun 1995,221319,362231,79794,663344,76331,82035,76489,234855,4338,902537
Jul 1995,214647,349515,77035,641197,68075,79162,77776,225013,3769,869979
Aug 1995,168398,268393,64286,501077,53918,62269,57805,173992,2958,678027
Sep 1995,218861,336929,84078,639868,66455,76261,74132,216848,3957,860673
Oct 1995,208415,336952,81231,626598,61619,79412,66296,207327,4171,838096
Nov 1995,218275,352854,81821,652950,62210,76468,65354,204032,4346,861328
Dec 1995,203508,309188,75238,587934,58376,66016,56509,180901,4630,773465
Jan 1996,186768,321991,75446,584205,59025,67478,54379,180882,4541,769628
Feb 1996,227946,404391,92846,725183,66272,80512,67155,213939,5185,944307
Mar 1996,227832,409325,97531,734688,68999,85554,68130,222683,5874,963245
Apr 1996,189118,322385,85857,597360,61389,76651,57076,195116,4211,796687
May 1996,188564,316268,78502,583334,62581,67233,52395,182209,3803,769346
Jun 1996,197914,345296,86111,629321,65915,77571,65089,208575,4149,842045
Jul 1996,237990,394844,82041,714875,71702,88502,72280,232484,5651,953010
Aug 1996,156749,277728,54610,489087,56971,62208,51850,171029,3754,663870
Sep 1996,247497,377189,79839,704525,72300,77518,64966,214784,4011,923320
Oct 1996,263545,392005,79992,735542,71692,70702,60407,202801,4018,942361
Nov 1996,257283,380783,81578,719644,70127,73089,65554,208770,3830,932244
Dec 1996,225627,345321,75964,646912,66884,67738,61003,195625,4099,846636
Jan 1997,241423,386673,81254,709350,73140,71922,58125,203187,5261,917798
Feb 1997,244258,389835,83678,717771,80481,69541,60912,210934,4838,933543
Mar 1997,286365,464677,93211,844253,89489,85483,66621,241593,6257,1092103
Apr 1997,243101,370299,76192,689592,71919,61574,57926,191419,5899,886910
May 1997,244776,369813,81652,696241,71428,62479,54269,188176,5654,890071
Jun 1997,281340,390778,84930,757048,78213,73691,62701,214605,5432,977085
Jul 1997,293133,409046,86562,788741,93433,77170,64970,235573,6399,1030713
Aug 1997,191051,267807,53731,512589,66570,47431,40142,154143,4471,671203
Sep 1997,272411,371027,75522,718960,92886,64063,53143,210092,4972,934024
Oct 1997,277056,377130,75921,730107,82452,63851,55762,202065,4412,936584
Nov 1997,249416,349365,68797,667578,77261,53220,57275,187756,3875,859209
Dec 1997,247718,343175,68357,659250,72320,50403,59107,181830,4764,845844
Jan 1998,248740,338749,65817,653306,70797,49528,56050,176375,5139,834820
Feb 1998,274745,380266,75772,730783,77285,56885,62886,197056,5353,933192
Mar 1998,280365,411556,84735,776656,79848,54160,60313,194321,5760,976737
Apr 1998,224324,311307,70404,606035,64965,39775,45606,150346,5021,761402
May 1998,207966,297747,64197,569910,62528,35388,42413,140329,4648,714887
Jun 1998,263116,369933,70929,703978,75258,42020,53514,170792,4441,879211
Jul 1998,281628,368668,80705,731001,80217,45800,57646,183663,4600,919264
Aug 1998,191511,250349,38191,480051,57360,33940,37314,128614,3906,612571
Sep 1998,291901,367318,12257,671476,74592,46505,44074,165171,5039,841686
Oct 1998,275881,336772,159801,772454,67995,41650,55827,165472,4875,942801
Nov 1998,264050,324436,115955,704441,66271,37873,34994,139138,4186,847765
Dec 1998,248447,289908,109483,647838,59637,33622,32540,125799,3985,777622
Jan 1999,245151,286799,98924,630874,55751,34055,44141,133947,4404,769225
Feb 1999,270334,346307,107790,724431,53546,39209,58361,151116,3963,879510
Mar 1999,296852,393885,131238,821975,64438,48840,74222,187500,4373,1013848
Apr 1999,217200,264357,102133,583690,36872,34531,52841,124244,3652,711586
May 1999,215735,266945,90998,573678,40552,33268,47651,121471,3307,698456
Jun 1999,266382,318450,112881,697713,52350,46999,57912,157261,4334,859308
Jul 1999,272591,328401,111561,712553,58557,52308,59228,170093,4464,887110
Aug 1999,219118,234404,72590,526112,47192,33365,38841,119398,3852,649362
Sep 1999,310917,344486,100638,756041,68815,46606,57419,172840,4284,933165
Oct 1999,286759,302685,107036,696480,50156,37478,58483,146117,3497,846094
Nov 1999,298924,319525,115263,733712,50354,37878,47322,135554,4082,873348
Dec 1999,255472,278136,106215,639823,47440,31559,48372,127371,4183,771377
Jan 2000,248757,272817,96745,618319,51190,35155,45185,131530,4191,754040
Feb 2000,303149,344636,118348,766133,59268,40623,55988,155879,4674,926686
Mar 2000,333998,376570,135198,845766,65885,43688,58592,168165,5178,1019109
Apr 2000,259203,296727,101481,657411,48227,39977,40945,129149,4424,790984
May 2000,248317,275771,98116,622204,45986,37249,43552,126787,4098,753089
Jun 2000,306471,337863,119023,763357,56673,46619,55462,158754,4841,926952
Jul 2000,296730,327334,110832,734896,56992,43757,54074,154823,5024,894743
Aug 2000,237566,241469,88846,567881,49514,35698,37456,122668,4462,695011
Sep 2000,275389,309010,106801,691200,59059,40922,48129,148110,4346,843656
Oct 2000,291521,317642,101869,711032,55409,40762,52596,148767,4834,864633
Nov 2000,302021,313491,98335,713847,53921,40648,52156,146725,4193,864765
Dec 2000,273325,286563,107500,667388,47056,38184,50221,135461,4279,807128
Jan 2001,249820,269141,98923,617884,43087,36457,44019,123563,4087,745534
Feb 2001,300857,325292,124267,750416,49439,42897,49796,142132,4990,897538
Mar 2001,312371,360192,127038,799601,54993,48318,52346,155657,5002,960260
Apr 2001,254482,278219,94479,627180,45702,37662,41533,124897,4636,756713
May 2001,252466,263432,91393,607291,43810,35808,43572,123190,4745,735226
Jun 2001,300077,306189,106421,712687,46510,40133,49810,136453,5550,854690
Jul 2001,321565,309389,103794,734748,55062,40698,48288,144048,5166,883962
Aug 2001,267976,225909,81410,575295,50917,34473,41098,126488,4830,706613
Sep 2001,308835,261853,107734,678422,57141,37310,50237,144688,5097,828207
Oct 2001,330889,272763,109599,713251,53797,33452,51925,139174,5083,857508
Nov 2001,304004,265492,120919,690415,48581,31191,46006,125778,4648,820841
Dec 2001,256664,241044,112665,610373,46364,26871,42233,115468,4258,730099
Jan 2002,275280,273411,108434,657125,49636,29026,42292,120954,4342,782421
Feb 2002,309540,316127,129630,755297,53900,34299,47987,136186,5229,896712
Mar 2002,328869,342035,129075,799979,59686,35144,53757,148587,5934,954500
Apr 2002,279862,278773,101926,660561,48032,30455,33704,112191,4745,777497
May 2002,284688,289102,101553,675343,55420,29814,37398,122632,5348,803323
Jun 2002,295713,297081,105705,698499,59616,31273,46782,137671,5543,841713
Jul 2002,330183,329707,112146,772036,70718,35339,44849,150906,5803,928745
Aug 2002,248408,264068,86150,598626,56069,27816,34347,118232,5361,722219
Sep 2002,327702,321172,115099,763973,65962,36052,45661,147675,5711,917359
Oct 2002,342336,323304,100232,765872,62845,32586,44605,140036,6230,912138
Nov 2002,343164,312366,112324,767854,49360,31463,41861,122684,6108,896646
Dec 2002,305278,290355,107556,703189,48720,27036,39130,114886,5967,824042
Jan 2003,305533,306933,102826,715292,56924,32054,43336,132314,5781,853387
Feb 2003,311658,331735,111712,755105,60383,34403,46401,141187,5969,902261
Mar 2003,321565,337817,127035,786417,64079,38679,48595,151353,6005,943775
Apr 2003,279890,266563,95416,641869,56933,33635,37165,127733,4659,774261
May 2003,277738,269732,100227,647697,61679,33730,39068,134477,4169,786343
Jun 2003,312279,292490,111930,716699,68639,38824,46202,153665,4512,874876
Jul 2003,326567,310038,117413,754018,74004,41318,48375,163697,4962,922677
Aug 2003,248274,231364,74440,554078,58621,33758,31652,124031,3852,681961
Sep 2003,346582,294550,117098,758230,72341,46537,49688,168566,4838,931634
Oct 2003,369621,281558,114845,766024,69845,41711,48711,160267,5747,932038
Nov 2003,336444,264786,107527,708757,65647,39446,45864,150957,5301,865015
Dec 2003,317295,247096,109751,674142,63632,35367,39370,138369,5279,817790
Jan 2004,319470,261848,103379,684697,61577,37432,37659,136668,4974,826339
Feb 2004,346730,288128,130473,765331,62742,38122,41769,142633,5547,913511
Mar 2004,379579,328709,154815,863103,65302,44339,51170,160811,6018,1029932
Apr 2004,339036,244128,117704,700868,62879,35586,42974,141439,4749,847056
May 2004,290502,220035,110482,621019,54022,32806,41586,128414,4540,753973
Jun 2004,364588,293157,114928,772673,67289,39209,50763,157261,5368,935302
Jul 2004,352983,304083,110993,768059,72708,38270,42647,153625,5270,926954
Aug 2004,274001,221894,75512,571407,61107,30557,31802,123466,4465,699338
Sep 2004,376613,311620,107934,796167,72110,43409,47052,162571,5426,964164
Oct 2004,349589,276628,116695,742912,67804,35810,45846,149460,5053,897425
Nov 2004,352702,297798,116369,766869,66566,40864,46841,154271,5329,926469
Dec 2004,298770,261119,107391,667280,55847,30132,34093,120072,3703,791055
Jan 2005,319148,288030,111064,718242,61485,29489,41419,132393,4846,855481
Feb 2005,359826,317005,129825,806656,63517,37382,45077,145976,6756,959388
Mar 2005,391316,343992,150489,885797,66358,46884,54079,167321,7315,1060433
Apr 2005,347374,263198,113338,723910,62997,35119,42683,140799,6258,870967
May 2005,297527,243236,105229,645992,59135,31742,44651,135528,5426,786946
Jun 2005,362365,298174,121713,782252,69521,40543,51603,161667,7287,951206
Jul 2005,351852,290712,115834,758398,60142,37552,40001,137695,7402,903495
Aug 2005,282455,216470,87075,586000,51205,29526,30163,110894,5096,701990
Sep 2005,382831,312518,125373,820722,60250,40780,45622,146652,6730,974104
Oct 2005,345549,274324,112330,732203,59053,39098,51621,149772,6530,888505
Nov 2005,391818,294717,121223,807758,58125,38193,51620,147938,6682,962378
Dec 2005,359299,274246,115260,748805,51875,30455,47646,129976,5985,884766
Jan 2006,366579,262915,110520,740014,49851,30015,36389,116255,6339,862608
Feb 2006,410906,305883,129310,846099,54506,36910,44028,135444,7012,988555
Mar 2006,443319,358922,159753,961994,57616,43726,46903,148245,7770,1118009
Apr 2006,381902,261248,123599,766749,54497,32744,43578,130819,7253,904821
May 2006,338989,239390,108042,686421,49175,30150,42246,121571,6654,814646
Jun 2006,413345,310152,137952,861449,62921,40231,47050,150202,7851,1019502
Jul 2006,393773,295637,132847,822257,65179,38026,44966,148171,7428,977856
Aug 2006,344562,227599,106545,678706,55386,31920,39139,126445,6793,811944
Sep 2006,424526,284416,136548,845490,65462,38194,45027,148683,7565,1001738
Oct 2006,456087,259027,129229,844343,61426,33065,49238,143729,8093,996165
Nov 2006,488746,261299,128780,878825,63449,34563,48122,146134,8390,1033349
Dec 2006,452694,235777,134085,822556,59942,29860,35193,124995,7489,955040
Jan 2007,431263,214798,127994,774055,50274,31859,35102,117235,7290,898580
Feb 2007,481420,248621,138952,868993,57550,34861,37520,129931,8455,1007379
Mar 2007,506468,271853,159069,937390,62419,33367,37392,133178,9620,1080188
Apr 2007,441712,186178,122039,749929,53126,27098,33010,113234,7849,871012
May 2007,433230,188455,116740,738425,53782,28429,37724,119935,7836,866196
Jun 2007,499054,223482,124208,846744,60864,34034,39594,134492,8878,990114
Jul 2007,450545,189381,98503,738429,60053,32546,37521,130120,7671,876220
Aug 2007,437213,196169,98377,731759,57949,28955,37590,124494,8030,864283
Sep 2007,516988,237278,112112,866378,65886,30862,38421,135169,11964,1013511
Oct 2007,579291,234451,117117,930859,69797,30367,42500,142664,13345,1086868
Nov 2007,575794,236249,114054,926097,65644,28771,39812,134227,12195,1072519
