Exports (Motor Vehicle) Year & Month / Type Jan 1993-Jan 2024
Specific Makes
,Passenger Cars,Passenger Cars,Passenger Cars,Passenger Cars,Trucks,Trucks,Trucks,Trucks,Buses,Grand Total
,Standard,Small,Mini,Total,Standard,Small,Mini,Total,,Grand Total
Jan 1993, 120074, 318306, 1714, 440094, 60395, 24938, -, 85333, 5922, 1056776,
Feb 1993, 123310, 268856, 848, 393014, 69019, 27645, 145, 96809, 7142, 986788,
Mar 1993, 146982, 294407, 2454, 443843, 82673, 26838, 542, 110053, 8915, 1116707,
Apr 1993, 112850, 215009, 2220, 330079, 75260, 22610, 1313, 99183, 8755, 867279,
May 1993, 87611, 185858, 1562, 275031, 58033, 18567, 500, 77100, 7380, 711642,
Jun 1993, 93192, 214280, 635, 308107, 64078, 22684, -, 86762, 7525, 797263,
Jul 1993, 100669, 210704, 466, 311839, 64646, 21659, -, 86305, 6034, 802322,
Aug 1993, 96735, 180066, 625, 277426, 54383, 18770, -, 73153, 5920, 707078,
Sep 1993, 131199, 226042, 725, 357966, 65252, 25034, -, 90286, 4735, 901239,
Oct 1993, 101381, 158907, 531, 260819, 64618, 21090, -, 85708, 4032, 697086,
Nov 1993, 108305, 147876, 350, 256531, 50886, 19151, -, 70037, 4065, 657201,
Dec 1993, 105306, 149963, 566, 255835, 53550, 18784, -, 72334, 3584, 659922,
Jan 1994, 110420, 201509, 496, 312425, 52534, 21653, -, 74187, 3663, 776887,
Feb 1994, 117329, 176276, 705, 294310, 58598, 22297, 2, 80897, 4855, 755269,
Mar 1994, 135876, 190981, 457, 327314, 68207, 23624, 1, 91832, 5383, 843675,
Apr 1994, 106405, 166028, 499, 272932, 68748, 19759, -, 88507, 5551, 728429,
May 1994, 85328, 138949, 599, 224876, 49992, 18589, -, 68581, 4837, 591751,
Jun 1994, 119260, 160882, 431, 280573, 67061, 21040, 13, 88114, 7183, 744557,
Jul 1994, 123937, 177554, 329, 301820, 72911, 22447, 7, 95365, 8392, 802762,
Aug 1994, 86053, 150047, 1009, 237109, 58191, 21462, 2, 79655, 8410, 641938,
Sep 1994, 123517, 174366, 556, 298439, 71601, 24819, 10, 96430, 7441, 797179,
Oct 1994, 99103, 157199, 429, 256731, 72539, 27001, 3, 99543, 6664, 719212,
Nov 1994, 111857, 165416, 257, 277530, 61430, 21143, 2, 82575, 5948, 726158,
Dec 1994, 104139, 171165, 451, 275755, 61125, 20053, 14, 81192, 5273, 719167,
Jan 1995, 89821, 143292, 867, 233980, 47628, 15158, 12, 62798, 3845, 597401,
Feb 1995, 112934, 177570, 1512, 292016, 55579, 21976, 1, 77556, 4592, 743736,
Mar 1995, 118250, 195192, 1682, 315124, 60713, 27915, 29, 88657, 4599, 812161,
Apr 1995, 121068, 156774, 433, 278275, 55303, 24459, 33, 79795, 4805, 720945,
May 1995, 90194, 129764, 467, 220425, 49717, 18583, 33, 68333, 3240, 580756,
Jun 1995, 103365, 134043, 311, 237719, 52656, 22366, 55, 75077, 3673, 629265,
Jul 1995, 88523, 126950, 291, 215764, 50163, 18206, 31, 68400, 2702, 571030,
Aug 1995, 76704, 119375, 313, 196392, 43845, 16429, -, 60274, 2510, 515842,
Sep 1995, 91147, 146669, 593, 238409, 52833, 18192, 15, 71040, 3178, 622076,
Oct 1995, 84332, 120647, 731, 205710, 47801, 16931, 13, 64745, 3542, 544452,
Nov 1995, 85580, 133212, 238, 219030, 47950, 18240, 44, 66234, 3896, 574424,
Dec 1995, 94204, 148562, 606, 243372, 48466, 18474, 10, 66950, 4152, 624796,
Jan 1996, 79506, 127295, 441, 207242, 38578, 16119, 138, 54835, 3232, 527386,
Feb 1996, 92375, 161622, 551, 254548, 49019, 17571, 53, 66643, 3851, 646233,
Mar 1996, 96867, 146039, 259, 243165, 57330, 20281, 86, 77697, 4872, 646596,
Apr 1996, 83476, 151328, 324, 235128, 51131, 15928, 23, 67082, 3651, 608071,
May 1996, 76711, 126370, 426, 203507, 48581, 13380, 3, 61964, 3545, 534487,
Jun 1996, 97969, 146497, 516, 244982, 52712, 15869, 43, 68624, 3447, 630659,
Jul 1996, 106082, 146528, 652, 253262, 52882, 14940, 2, 67824, 3853, 646025,
Aug 1996, 75611, 119813, 602, 196026, 47674, 13844, 10, 61528, 3416, 518524,
Sep 1996, 115565, 149060, 831, 265456, 60742, 18686, 49, 79477, 3762, 693628,
Oct 1996, 101488, 146908, 358, 248754, 56431, 12816, 1, 69248, 3348, 639352,
Nov 1996, 112754, 144826, 406, 257986, 54541, 13926, 2, 68469, 3413, 656323,
Dec 1996, 105420, 143961, 643, 250024, 52706, 11658, 17, 64381, 3476, 632286,
Jan 1997, 121823, 157613, 610, 280046, 60316, 10682, 50, 71048, 4120, 706308,
Feb 1997, 110671, 154029, 628, 265328, 58379, 13489, 9, 71877, 3964, 678374,
Mar 1997, 120799, 145268, 1003, 267070, 70216, 13835, 44, 84095, 4972, 707302,
Apr 1997, 126838, 156830, 439, 284107, 59966, 14210, 14, 74190, 4133, 720727,
May 1997, 126286, 144897, 264, 271447, 58311, 12184, 29, 70524, 6180, 690122,
Jun 1997, 153669, 178200, 551, 332420, 64950, 14915, 44, 79909, 4702, 829360,
Jul 1997, 166139, 171652, 559, 338350, 70389, 14613, 47, 85049, 5411, 852209,
Aug 1997, 126114, 162132, 760, 289006, 62460, 12260, 44, 74764, 4581, 732121,
Sep 1997, 161953, 176947, 366, 339266, 74853, 16617, 78, 91548, 4995, 866623,
Oct 1997, 142778, 169294, 286, 312358, 59804, 13487, 36, 73327, 3923, 775293,
Nov 1997, 135741, 160065, 290, 296096, 60885, 11372, 114, 72371, 3182, 740116,
Dec 1997, 135889, 167326, 422, 303637, 58949, 11717, 101, 70767, 4439, 753247,
Jan 1998, 156810, 158821, 321, 315952, 51307, 9286, 43, 60636, 3529, 756705,
Feb 1998, 155564, 163680, 592, 319836, 57140, 7143, 42, 64325, 4363, 772685,
Mar 1998, 161741, 155481, 560, 317782, 69601, 10246, 112, 79959, 4745, 800227,
Apr 1998, 152257, 164199, 382, 316838, 51646, 7202, 78, 58926, 4349, 755877,
May 1998, 132024, 143282, 391, 275697, 51104, 6832, 108, 58044, 4052, 671534,
Jun 1998, 153269, 144906, 312, 298487, 63011, 9536, 94, 72641, 4480, 746736,
Jul 1998, 180410, 146116, 493, 327019, 63162, 9554, 77, 72793, 3918, 803542,
Aug 1998, 137400, 113709, 549, 251658, 52186, 8590, 58, 60834, 3406, 628390,
Sep 1998, 188167, 150831, 87, 339085, 68348, 9703, 42, 78093, 4161, 838517,
Oct 1998, 171677, 124854, 54, 296585, 50416, 8407, 91, 58914, 3311, 714309,
Nov 1998, 172709, 139998, 9, 312716, 52750, 6941, 68, 59759, 3613, 748563,
Dec 1998, 165870, 146898, 7, 312775, 63235, 7227, 142, 70604, 4990, 771748,
Jan 1999, 199787, 141200, 113, 341100, 44317, 5788, 50, 50155, 3375, 785885,
Feb 1999, 172112, 140178, 191, 312481, 50459, 6464, 20, 56943, 2768, 741616,
Mar 1999, 185117, 135509, 161, 320787, 63006, 7652, 20, 70678, 3254, 786184,
Apr 1999, 160268, 133548, 184, 294000, 35007, 6014, 5, 41026, 2888, 672940,
May 1999, 156453, 111865, 80, 268398, 31181, 6133, 76, 37390, 2872, 614448,
Jun 1999, 180288, 124562, 76, 304926, 37594, 7174, 54, 44822, 3100, 702596,
Jul 1999, 189519, 122261, 102, 311882, 48373, 8006, 55, 56434, 3515, 740147,
Aug 1999, 155121, 103025, 58, 258204, 38666, 5723, 37, 44426, 3491, 608751,
Sep 1999, 217859, 144603, 63, 362525, 63777, 9429, 25, 73231, 3558, 875070,
Oct 1999, 195150, 139710, 52, 334912, 40153, 7061, 6, 47220, 2915, 767179,
Nov 1999, 196612, 137185, 43, 333840, 39968, 5744, 14, 45726, 2957, 762089,
Dec 1999, 185503, 128802, 100, 314405, 39273, 5773, 16, 45062, 3687, 722621,
Jan 2000, 173609, 112689, 127, 286425, 37801, 5920, 2, 43723, 2347, 662643,
Feb 2000, 201816, 123059, 65, 324940, 45006, 6097, 28, 51131, 2902, 755044,
Mar 2000, 190644, 122626, 114, 313384, 59905, 7362, 52, 67319, 3155, 764561,
Apr 2000, 222861, 136047, 122, 359030, 37906, 6593, 36, 44535, 2984, 810114,
May 2000, 164465, 105007, 50, 269522, 36167, 6310, 57, 42534, 3099, 627211,
Jun 2000, 207959, 132459, 30, 340448, 46309, 10062, 245, 56616, 3951, 798079,
Jul 2000, 207501, 128981, 8, 336490, 46040, 8906, 167, 55113, 3795, 787001,
Aug 2000, 170131, 110008, -, 280139, 39902, 7119, 42, 47063, 3813, 658217,
Sep 2000, 214406, 130378, -, 344784, 52641, 8615, 58, 61314, 3943, 816139,
Oct 2000, 190380, 119047, 1, 309428, 41630, 6651, 7, 48288, 3638, 719070,
Nov 2000, 190305, 124768, 2, 315075, 46167, 6195, 8, 52370, 3976, 738866,
Dec 2000, 199186, 117000, 1, 316187, 41349, 6499, 16, 47864, 3560, 731662,
Jan 2001, 168989, 101093, 2, 270084, 32322, 4994, 2, 37318, 2699, 617503,
Feb 2001, 181808, 110793, -, 292601, 37349, 6274, 4, 43627, 3043, 675499,
Mar 2001, 194663, 113672, 21, 308356, 48570, 6746, 4, 55320, 3985, 731337,
Apr 2001, 191390, 113251, 20, 304661, 37121, 6346, -, 43467, 3779, 700035,
May 2001, 157604, 88054, 2, 245660, 32453, 4983, 11, 37447, 3651, 569865,
Jun 2001, 197035, 101002, 5, 298042, 38607, 5133, 3, 43743, 4714, 688284,
Jul 2001, 220592, 99018, 22, 319632, 41884, 5213, 7, 47104, 3928, 737400,
Aug 2001, 201235, 85518, 5, 286758, 41338, 5419, 6, 46763, 3951, 670993,
Sep 2001, 223328, 100873, 5, 324206, 54559, 6753, 8, 61320, 4128, 775180,
Oct 2001, 234614, 92909, 21, 327544, 40615, 5088, 8, 45711, 3798, 750308,
Nov 2001, 220661, 92264, 1, 312926, 41045, 4788, 3, 45836, 3416, 720940,
Dec 2001, 192777, 85469, -, 278246, 40595, 4640, 1, 45236, 3389, 650353,
Jan 2002, 197321, 89395, 3, 286719, 34365, 4024, -, 38389, 2928, 653144,
Feb 2002, 220589, 103321, 40, 323950, 43774, 5264, 1, 49039, 3286, 749264,
Mar 2002, 234915, 98040, 33, 332988, 51482, 6453, 2, 57937, 4100, 785950,
Apr 2002, 228053, 108532, 31, 336616, 43539, 6364, 3, 49906, 4023, 777067,
May 2002, 212052, 98748, 97, 310897, 40673, 4878, 3, 45554, 3795, 716697,
Jun 2002, 222832, 103910, 56, 326798, 57162, 5588, 8, 62758, 3932, 783044,
Jul 2002, 252132, 106781, 52, 358965, 52954, 6593, 4, 59551, 4411, 841443,
Aug 2002, 197759, 92728, 46, 290533, 49785, 6603, 6, 56394, 4282, 698136,
Sep 2002, 259705, 108053, 35, 367793, 57946, 6935, 6, 64887, 4636, 869996,
Oct 2002, 242916, 101577, 44, 344537, 48016, 5678, 8, 53702, 4369, 800847,
Nov 2002, 269194, 112881, 4, 382079, 43560, 5747, 4, 49311, 4612, 867392,
Dec 2002, 245937, 104559, 2, 350498, 44057, 6091, 17, 50165, 4388, 805714,
Jan 2003, 229419, 106957, 46, 336422, 37708, 5259, 4, 42971, 3776, 762562,
Feb 2003, 237621, 101189, 52, 338862, 45755, 5592, -, 51347, 3840, 784258,
Mar 2003, 232413, 98567, 39, 331019, 53636, 6109, 4, 59749, 4048, 785584,
Apr 2003, 234078, 110681, 13, 344772, 44191, 6193, 6, 50390, 3538, 793862,
May 2003, 202746, 87995, 31, 290772, 40093, 5097, 4, 45194, 3455, 675387,
Jun 2003, 239537, 95306, 27, 334870, 45097, 5971, 12, 51080, 3505, 775405,
Jul 2003, 234279, 102757, 24, 337060, 48881, 6966, 7, 55854, 3730, 789558,
Aug 2003, 190974, 97213, 19, 288206, 42028, 6316, 10, 48354, 2841, 675961,
Sep 2003, 269939, 109779, 250, 379968, 49659, 6953, 6, 56618, 3928, 877100,
Oct 2003, 255369, 101467, 444, 357280, 47417, 6271, -, 53688, 3462, 825398,
Nov 2003, 258056, 98276, 376, 356708, 48379, 7649, 7, 56035, 4833, 830319,
Dec 2003, 271881, 112246, 432, 384559, 50562, 8411, 1, 58974, 4635, 891701,
Jan 2004, 228147, 92677, 313, 321137, 42396, 7003, 1, 49400, 4047, 745121,
Feb 2004, 241955, 89593, 306, 331854, 46364, 7689, 8, 54061, 4097, 775927,
Mar 2004, 263226, 95979, 146, 359351, 53189, 8170, 9, 61368, 4770, 846208,
Apr 2004, 239147, 101380, 317, 340844, 48092, 7902, 4, 55998, 4623, 798307,
May 2004, 231352, 93038, 187, 324577, 43311, 6549, 4, 49864, 4042, 752924,
Jun 2004, 256848, 100023, 167, 357038, 49890, 8441, 11, 58342, 4712, 835472,
Jul 2004, 270425, 111369, 106, 381900, 54811, 9034, 8, 63853, 4512, 896018,
Aug 2004, 203926, 90490, 47, 294463, 46913, 7211, 13, 54137, 3712, 700912,
Sep 2004, 269934, 113953, 65, 383952, 56473, 7996, 10, 64479, 5202, 902064,
Oct 2004, 257035, 108105, 44, 365184, 50887, 9039, 10, 59936, 5392, 855632,
Nov 2004, 276343, 102756, 20, 379119, 50687, 8145, 24, 58856, 5330, 881280,
Dec 2004, 256921, 117650, 37, 374608, 48220, 9274, 7, 57501, 5402, 869620,
Jan 2005, 221039, 91266, 49, 312354, 37795, 7472, 2, 45269, 3584, 718830,
Feb 2005, 250760, 97922, 55, 348737, 48494, 7761, 16, 56271, 6306, 816322,
Mar 2005, 277683, 91331, 11, 369025, 53796, 8607, 18, 62421, 7242, 870134,
Apr 2005, 260117, 103100, 14, 363231, 49706, 8553, 15, 58274, 6868, 849878,
May 2005, 235313, 85919, 17, 321249, 41726, 7346, 24, 49096, 5269, 745959,
Jun 2005, 270052, 106962, 26, 377040, 50891, 7467, 15, 58373, 7378, 878204,
Jul 2005, 265523, 98131, 27, 363681, 47844, 7642, 21, 55507, 7160, 845536,
Aug 2005, 226831, 87421, 17, 314269, 36869, 6439, 17, 43325, 5710, 720898,
Sep 2005, 291913, 111449, 24, 403386, 42011, 8017, 18, 50046, 6845, 913709,
Oct 2005, 277360, 114720, 25, 392105, 38654, 7200, 3, 45857, 6732, 882656,
Nov 2005, 290353, 102439, 26, 392818, 37848, 7012, 8, 44868, 7921, 883293,
Dec 2005, 297659, 107613, 1, 405273, 36214, 6430, 5, 42649, 6922, 902766,
Jan 2006, 289014, 93339, 3, 382356, 29674, 6772, 9, 36455, 4973, 842595,
Feb 2006, 304147, 108459, 55, 412661, 38302, 7372, 16, 45690, 7099, 923801,
Mar 2006, 328525, 138684, 35, 467244, 42614, 8473, 11, 51098, 7209, 1043893,
Apr 2006, 304306, 117848, 14, 422168, 37247, 7127, -, 44374, 7090, 940174,
May 2006, 288543, 120619, 23, 409185, 35799, 7208, 21, 43028, 7046, 911472,
Jun 2006, 314443, 138771, 54, 453268, 39332, 7151, 4, 46487, 7829, 1007339,
Jul 2006, 323084, 130770, 60, 453914, 42998, 8588, 16, 51602, 8110, 1019142,
Aug 2006, 288386, 108078, 136, 396600, 39801, 5972, 15, 45788, 7867, 892643,
Sep 2006, 347824, 121156, 191, 469171, 45902, 8077, 13, 53992, 8610, 1054936,
Oct 2006, 336646, 114684, 114, 451444, 42375, 7359, 16, 49750, 7684, 1010072,
Nov 2006, 358432, 132592, 100, 491124, 45902, 7873, 14, 53789, 10382, 1100208,
Dec 2006, 361731, 124608, 23, 486362, 48686, 7229, 6, 55921, 9302, 1093868,
Jan 2007, 334031, 109975, 183, 444189, 34193, 4969, 32, 39194, 7153, 973919,
Feb 2007, 349819, 112240, 129, 462188, 42786, 6305, 22, 49113, 8394, 1030996,
Mar 2007, 380023, 123188, 94, 503305, 47835, 7016, 11, 54862, 10136, 1126470,
Apr 2007, 326077, 102442, 154, 428673, 40836, 6329, 18, 47183, 8846, 960558,
May 2007, 335020, 96568, 291, 431879, 37198, 5794, 18, 43010, 7904, 957682,
Jun 2007, 383006, 119928, 67, 503001, 43540, 7794, 27, 51361, 9360, 1118084,
Jul 2007, 354554, 99317, 17, 453888, 43495, 8405, 20, 51920, 8829, 1020445,
Aug 2007, 351093, 97730, -, 448823, 42104, 8816, 27, 50947, 8386, 1007926,
Sep 2007, 395513, 115920, 136, 511569, 48652, 7429, 34, 56115, 12983, 1148351,
Oct 2007, 402413, 125061, 124, 527598, 49944, 9080, 37, 59061, 13895, 1187213,
Nov 2007, 402650, 129249, 197, 532096, 45563, 9648, 32, 55243, 13083, 1187761,
Dec 2007, 436735, 127796, 219, 564750, 50864, 7543, 34, 58441, 12562, 1258944,
Jan 2008, 398268, 113972, 76, 512316, 41044, 7111, -, 48155, 11765, 1132707,
Feb 2008, 393743, 124739, 167, 518649, 48264, 7085, 4, 55353, 13823, 1161827,
Mar 2008, 424318, 134676, 156, 559150, 55669, 8703, 7, 64379, 14855, 1261913,
Apr 2008, 389703, 128841, 46, 518590, 45709, 7386, 6, 53101, 12368, 1155750,
May 2008, 355923, 114393, 155, 470471, 41395, 5892, 7, 47294, 10852, 1046382,
Jun 2008, 389789, 133569, 75, 523433, 50790, 7902, 2, 58694, 12557, 1176811,
Jul 2008, 414622, 125870, 58, 540550, 54782, 9520, 2, 64304, 14320, 1224028,
Aug 2008, 321013, 109631, 44, 430688, 46870, 7490, 3, 54363, 11681, 981783,
Sep 2008, 397443, 144804, 42, 542289, 52998, 6998, 1, 59997, 13636, 1218208,
Oct 2008, 352593, 151663, 17, 504273, 49184, 8697, 3, 57884, 13234, 1137548,
Nov 2008, 295606, 132647, 22, 428275, 42892, 8641, 3, 51536, 12179, 971801,
Dec 2008, 246548, 120170, 27, 366745, 37999, 5156, 3, 43158, 12174, 831980,
Jan 2009, 129349, 70977, 21, 200347, 21216, 3166, -, 24382, 9130, 458588,
Feb 2009, 126607, 59789, 29, 186425, 16579, 2759, -, 19338, 6344, 417870,
Mar 2009, 135371, 63642, -, 199013, 20039, 3425, -, 23464, 5724, 450678,
Apr 2009, 127139, 57399, 10, 184548, 14117, 2084, -, 16201, 5707, 407205,
May 2009, 158881, 52972, 28, 211881, 13270, 2199, -, 15469, 4240, 458940,
Jun 2009, 225053, 66052, 10, 291115, 19087, 3852, -, 22939, 7168, 635276,
Jul 2009, 236011, 68996, 37, 305044, 22708, 4370, -, 27078, 7526, 671770,
Aug 2009, 188035, 55997, 5, 244037, 20002, 4169, -, 24171, 6978, 543394,
Sep 2009, 270189, 78226, 56, 348471, 31182, 6491, -, 37673, 10019, 782307,
